basicData/language,basicData/name,basicData/email,basicData/phone,basicData/fax,basicData/title,basicData/body,basicData/web,geoData/address,geoData/zipcode,geoData/locality,geoData/country,geoData/latitude,geoData/longitude,geoData/subAdministrativeArea,multimedia/media/0/description,multimedia/media/0/url,multimedia/media/0/_type,multimedia/media/1/description,multimedia/media/1/url,multimedia/media/1/_type,multimedia/media/2/description,multimedia/media/2/url,multimedia/media/2/_type,extradata/item/0/_name,extradata/item/0/__text,extradata/item/1/_name,extradata/item/1/__text,extradata/item/2/_name,extradata/item/2/__cdata,extradata/item/3/_name,extradata/item/3/__cdata,extradata/categorias/categoria/item/0/_name,extradata/categorias/categoria/item/0/__text,extradata/categorias/categoria/item/1/_name,extradata/categorias/categoria/item/1/__text,extradata/fechas,_fechaActualizacion,_id,multimedia/media/3/description,multimedia/media/3/url,multimedia/media/3/_type,multimedia/media/4/description,multimedia/media/4/url,multimedia/media/4/_type
es,NLC Madrid (Native Language College),info@nlcollege.es,(+34) 91 737 66 33,,NLC Madrid (Native Language College),"<p><strong>Situada en plena Puerta del Sol, esta escuela de español cuenta con el certificado del Instituto Cervantes. Dispone de cursos para todos los niveles, tanto presenciales como online, y cuenta con una amplia variedad de actividades para aprender español mientras se disfruta de la cultura y gastronomía madrileñas.</strong></p><p>En sus instalaciones hay una sala de estudio con ordenadores para el uso de los estudiantes, wifi gratuito, una sala de ocio y comedor, una biblioteca con una gran variedad de títulos y máquinas expendedoras de café y aperitivos, además de microondas y frigorífico.</p><p>NLC Madrid ofrece diferentes tipos de programas, incluyendo cursos de español para todos los niveles con fechas de inicio flexibles (todos los lunes), con inscripción gratuita, exámenes de nivel gratuitos, preparación para SIELE y DELE, y un certificado de fin de curso gratuito. Todas sus clases pueden ser combinadas con otros programas como el Programa de Voluntariado o el de Au Pair.</p><p>Además, asesoran a los alumnos que lo necesiten con el visado, el alojamiento, seguros de salud, disponen de servicio de traslado desde el aeropuerto</p>",https://www.esmadrid.com/escuelas-de-español/nlc-madrid-native-language-college,"Puerta del Sol, 11, 2ª",28013,,Spain,40.417289700000,-3.703849700000,Madrid,,https://estaticos.esmadrid.com/cdn/farfuture/I3hD8kWq5HZlKemPwKeYLUplg2KCD9IeUPMa1bJWAB4/mtime:1620121834/sites/default/files/recursosturisticos/cursos/nlc_madrid.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/kZs53GcsQyAi1eX9HLffACrslUQdZhH5cg9vhkeCz6Y/mtime:1620121688/sites/default/files/recursosturisticos/cursos/nlc_madrid_2.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/SKVfZtXHduOSHgIhkPS7p_DkUcZ4Sap4V108BJguTZc/mtime:1620121750/sites/default/files/recursosturisticos/cursos/nlc_madrid_3.jpg,image,idTipo,8,Tipo,Courses,Servicios de pago,<p>Consultar web oficial</p>,Horario,<p>Lun &ndash; vier: 9:00 &ndash; 18:00 h</p>,idCategoria,4669,Categoria,Academia,,2022-09-27,96859,,,,,,
es,&Eacute;lite Lenguas,info@elitelenguas.com,(+34) 91 059 74 54,,&Eacute;lite Lenguas,"<p><strong>Enmarcada en el distrito de Chamberí, esta escuela de español cuenta con la acreditación del Instituto Cervantes y es centro examinador oficial SIELE. En ella se pueden estudiar todo tipo de cursos desde el nivel A1 al C2, adaptados a las necesidades de los alumnos.</strong></p><p>Sus modernas instalaciones disponen de 11 aulas luminosas y espaciosas, una recepción con una amplia gama de dispositivos multimedia para proporcionar a los estudiantes un entorno de aprendizaje, conversación, convivencia e inmersión en la cultura española, una biblioteca con material de lectura, acceso gratuito a Internet y Wifi con conexión inalámbrica en toda la escuela</p><p>Elite ofrece también cursos para aprender español mientras se practica el baile, la cocina, el dibujo, etc. Ofrece también servicios de visado y alojamiento con descuento para estudiantes extranjeros.</p>",https://www.esmadrid.com/escuelas-de-español/elite-lenguas,"de Rodríguez San Pedro, 21",28015,,Spain,40.431453500000,-3.710868900000,Madrid,,https://estaticos.esmadrid.com/cdn/farfuture/hEqJAG_lTPb1bL7iGzb__oOwa_v_MpICgUgPBejD6js/mtime:1619793432/sites/default/files/recursosturisticos/cursos/elite_lenguas.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/VH-0w6Y2Ew8W8OaGFB_PEWFyhZk0TDBSCce5yxeUJXY/mtime:1619793335/sites/default/files/recursosturisticos/cursos/elite_lenguas_2.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/yv3MxV2N34yJEW3vJiIJWB4HgS1_OPUbsy2wvILT564/mtime:1619793384/sites/default/files/recursosturisticos/cursos/elite_lenguas_3.jpg,image,idTipo,8,Tipo,Courses,Servicios de pago,<p>Consultar con la escuela</p>,Horario,<p>Horario oficina:</p><p>Lun - Jue: 9:00 - 18:30 h</p><p>Viernes: 9:00 - 17:30 h</p>,idCategoria,4669,Categoria,Academia,,2022-09-22,96838,,,,,,
es,Universidad Popular Miguel Delibes,upa@aytoalcobendas.org,(+34) 91 662 60 62,,Universidad Popular Miguel Delibes,"<p><!-- x-tinymce/html --></p><p><strong>Situado en Alcobendas, población cercana a Madrid, este centro dedicado a la educación de adultos, a la formación y a promover la participación de los ciudadanos en la comunidad, cuenta con cursos de español para extranjeros de cuatro meses de duración.</strong></p><p>Los cursos, que disponen de la certificación del Instituto Cervantes, se imparten en distintos días y horarios. Para formalizar la matrícula, es preciso realizar una prueba de nivel previa.</p>",https://www.esmadrid.com/escuelas-de-español/universidad-popular-miguel-delibes,"de la Magia, 4",28100,Alcobendas,Spain,40.551427186824,-3.657261729240,Alcobendas,,https://estaticos.esmadrid.com/cdn/farfuture/KLnvwX24iitu--_qT8UgFHcDwyEKDfxbtTkmCqOf6qc/mtime:1565095736/sites/default/files/recursosturisticos/cursos/universidad_popular_miguel_delibes_2.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/jvPj9nGfkE9rbDx_CLPfcUs24Jk3Xa9nCKLobFL_EXs/mtime:1565095816/sites/default/files/recursosturisticos/cursos/universidad_popular_miguel_delibes.jpg,image,,,,idTipo,8,Tipo,Courses,Servicios de pago,<p>Consultar web oficial</p>,Horario,<p>Consultar web oficial</p>,idCategoria,4670,Categoria,Universidades,,2022-09-20,92521,,,,,,
es,Spaneasy Spanish School,info@spaneasylearning.com,(+34) 91 059 16 00,,Spaneasy Spanish School,"<p><!-- x-tinymce/html --></p><p><strong>Situada muy cerca de la Puerta del Sol, esta escuela cuenta con un proyecto educativo especializado en la enseñanza del español para extranjeros. A través de un equipo de profesores nativos cualificados y con experiencia, los alumnos pueden aprender y mejorar su nivel de español gracias a una metodología fácil, dinámica y práctica. Desde 2020 cuentan con una gran variedad de cursos online.</strong></p><p><!-- x-tinymce/html --></p><p>La escuela dispone de diferentes tipos de cursos orientados a las necesidades de cada alumno, que van desde los cursos generales a los específicos para preparar exámenes oficiales como DELE o SIELE, pasando por los de español para negocios o programas específicos de clases individuales. Las clases, de una&nbsp; hora de duración, se componen, como máximo, de 10 alumnos, y comienzan cada lunes.</p><p>Los cursos ofertados cubren los 6 niveles del Marco Común Europeo de Referencia (MCER), que van del A1 al C2.</p><p>Spaneasy es un centro acreditado por el Instituto Cervantes, así como por el SIELE (Servicio Internacional de Evaluación de la Lengua Española) y el Bildungsurlaub.</p>",https://www.esmadrid.com/escuelas-de-español/spaneasy-spanish-school,"de  San Jerónimo, 5, piso 3, puerta 3",28014,,Spain,40.416806600000,-3.701245200000,Madrid,,https://estaticos.esmadrid.com/cdn/farfuture/KJ8g7xqeVX0IYy0JdG6toWGNGB1O5vveRfhvL3u6AAU/mtime:1619537889/sites/default/files/recursosturisticos/cursos/spaneay_2.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/WCWYBMPtbyJRSkxxe7ihDPmlYaFBbpnMUqVBwH4-WHI/mtime:1619537781/sites/default/files/recursosturisticos/cursos/spaneasy_2_0.jpg,image,,,,idTipo,8,Tipo,Courses,Servicios de pago,,Horario,<p><!-- x-tinymce/html --></p><p>Lun &ndash; jue: 8:30 &ndash; 21:30 h</p><p>Viernes: 8:30 &ndash; 18:00 h</p>,idCategoria,4669,Categoria,Academia,,2022-09-27,92520,,,,,,
es,CSB Escuela de Espa&ntilde;ol Santa B&aacute;rbara,info@spanishschoolsantabarbara.com,(+34) 626 71 09 45,,CSB Escuela de Espa&ntilde;ol Santa B&aacute;rbara,"<p><strong>Próxima a la Plaza de Olavide, Santa Bárbara es una escuela dirigida por especialistas de la educación que promueve el aprendizaje del español a través de una metodología centrada en el estudiante, flexible y personalizada. Cuenta con la acreditación del Instituto Cervantes.</strong></p><p>El centro se divide en 5 plantas con 2 ascensores y un montacargas. Dispone de 3 aulas, biblioteca, salón de actos, sala de reuniones, sala de profesores, despacho de dirección, gimnasio, salón de baile, cafeteria. Hay aseos en todas las plantas, con acceso para minusválidos.</p><p>Además de los cursos de formación, Santa Bárbara es un&nbsp;Centro oficial de exámenes DELE.</p><p>Para los alumnos extranjeros, el centro gestiona diferentes tipos de alojamiento para los estudiantes.</p><p>También cuenta con cursos de inglés y francés y cursos online.</p>",https://www.esmadrid.com/escuelas-de-español/csb-escuela-espanol-santa-barbara,"de Raimundo Lulio, 3",28010,,Spain,40.432578100000,-3.700006500000,Madrid,,https://estaticos.esmadrid.com/cdn/farfuture/HthgozO-STHUl-U0-Vr3ZJf76BupMk4WAMQ_DcyIz9M/mtime:1548763344/sites/default/files/recursosturisticos/cursos/santa_barbara.jpg,image,,,,,,,idTipo,8,Tipo,Courses,Servicios de pago,,Horario,<p>Lun &ndash; vier: 8:30 - 18:30 h</p>,idCategoria,4669,Categoria,Academia,,2022-09-21,90883,,,,,,
es,Vamos. International Formation Center,info@vamosmadrid.net,(+34) 91 411 05 62,,Vamos. International Formation Center,"<p><strong>El Barrio de Salamanca acoge esta academia que cuenta con la acreditación del Instituto Cervantes para impartir clases de español para extranjeros, además de otros idiomas.</strong></p><p>El centro dispone de aulas climatizadas, equipadas con elementos multimedia e informáticos. También cuenta con una sala multimedia, wifi y biblioteca. El equipo docente está formado por profesores nativos con una sólida formación en filología y enseñanza. Todos los cursos se completan con sesiones de coaching.</p><p>Vamos también se encarga de facilitar alojamiento a sus estudiantes así como ofrece todo tipo de servicios adicionales, como recogida del aeropuerto, visitas guiadas o reserva de entradas para espectáculos, entre otros.</p>",https://www.esmadrid.com/escuelas-de-español/vamos-international-formation-center,"del Príncipe de Vergara, 57 - 59",28006,,Spain,40.433125400000,-3.679696800000,Madrid,,https://estaticos.esmadrid.com/cdn/farfuture/BamkggkLLqL8nAXvqf5nr91y6LqzJRABRmhHZdVU4yo/mtime:1551868262/sites/default/files/recursosturisticos/cursos/vamos_1_0.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/s3MaW3RY1oeTU07YhDe-G-mFgtVKST_ChmNxipAbmn8/mtime:1551868358/sites/default/files/recursosturisticos/cursos/vamos_2.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/MnwW1Czg4F-hBEFQiifgUnjbKXz5DPpr8-XxE4-8paE/mtime:1551868408/sites/default/files/recursosturisticos/cursos/vamos_3.jpg,image,idTipo,8,Tipo,Courses,Servicios de pago,,Horario,<p>Lun &ndash; vier: 8:30 a 20:30h</p>,idCategoria,4669,Categoria,Academia,,2022-09-22,90449,,https://estaticos.esmadrid.com/cdn/farfuture/rGJ10-s5HsVD1U0jonQmdIgNhoQGuvUQYc1M-twTcac/mtime:1551869133/sites/default/files/recursosturisticos/cursos/vamos_4.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/C_GEH6MuTaP18VukpKwXpY73S9n6vjvYaedGAjxwgCM/mtime:1544617408/sites/default/files/recursosturisticos/cursos/vamos.jpg,image
es,Instituto Educativo Espa&ntilde;ol,hello@spainiee.com,(+34) 91 290 98 46,,Instituto Educativo Espa&ntilde;ol,"<p><strong>Procedente de Sheffield Centre, destacada escuela de idiomas que contaba con varias sedes en España y en el extranjero y que desde 2015 se dedicaba en exclusiva a la enseñanza del español, el Instituto Educativo Español se crea en 2019 para ofrecer una formación innovadora, fundamentada en las nuevas tecnologías. El centro cuenta con la acreditación del Instituto Cervantes y es centro examinador SIELE.</strong></p><p>Situada en el <a href=""https://www.esmadrid.com/barrios-de-madrid/barrio-salamanca"">Barrio de Salamanca</a>, junto a la <a href=""https://www.esmadrid.com/informacion-turistica/fuente-de-la-cibeles"">Plaza de Cibeles</a> y muy cerca de la <a href=""https://www.esmadrid.com/informacion-turistica/puerta-de-alcala"">Puerta de Alcalá</a> y de la <a href=""https://www.esmadrid.com/informacion-turistica/casa-america"">Casa de América</a>, la escuela cuenta con varias aulas equipadas con la más moderna tecnología, como proyector digital, equipo de audio y cobertura wifi. La escuela se complementa con una amplia sala de estar para los alumnos y recepción, sala de profesores y de reuniones, biblioteca con una extensa bibliografía, salas multifunción y una zona de administración.</p><p>En el centro disponen de cursos para todos los niveles, incluso para profesionales y empresas, preparando, además, a los estudiantes para la obtención del DELE. Los cursos pueden ser presenciales o a distancia.</p>",https://www.esmadrid.com/escuelas-de-español/instituto-educativo-espanol,"de Alcalá, 55",28014,,Spain,40.419798500000,-3.691733800000,Madrid,,https://estaticos.esmadrid.com/cdn/farfuture/8Cf35qvknzGHG6h1h7MPBhK0ne-Gs3hXtIOB7wz-Tys/mtime:1620118452/sites/default/files/recursosturisticos/cursos/spaniee.jpg,image,,,,,,,idTipo,8,Tipo,Courses,Servicios de pago,<p>Consultar web oficial</p>,Horario,<p>Lun &ndash; vier: 9:00 &ndash; 19:00 h</p>,idCategoria,4669,Categoria,Academia,,2022-09-22,89306,,,,,,
es,Centro de Estudios Hisp&aacute;nicos. Universidad Antonio de Nebrija,info.hispanicos@nebrija.es,(+34) 91 452 11 03,,Centro de Estudios Hisp&aacute;nicos. Universidad Antonio de Nebrija,"<p><strong>Perteneciente a la Universidad Antonio de Nebrija, este centro de estudios es un referente en el mundo de la enseñanza del español y de la formación de profesores.</strong></p><p>Cuenta con programas diseñados para estudiantes internacionales que quieran mejorar su español. Dispone de cursos para todos los niveles, desde intensivos de una semana hasta cursos universitarios, de lengua y cultura, de preparación de exámentes y cursos online. Todos los programas se completan con actividades culturales y extra-académicas. Los estudiantes disfrutan de un ambiente internacional inmerso en la universidad española.</p>",https://www.esmadrid.com/escuelas-de-español/centro-estudios-hispanicos-universidad-antonio-nebrija,"de Santa Cruz de Marcenado, 27 - 31",28015,,Spain,40.429552100000,-3.713496000000,Madrid,,https://estaticos.esmadrid.com/cdn/farfuture/866LgiiR5cRY1elbfk4I4vFEVwNKgQ1F0MVBTjZGxGo/mtime:1536745461/sites/default/files/recursosturisticos/cursos/nebrija.jpg,image,,,,,,,idTipo,8,Tipo,Courses,Servicios de pago,<p>Consultar en web oficial</p>,Horario,<p><strong>Horas de atención:</strong></p><p>Lun - Vier: 8:30 - 19:30 h</p>,idCategoria,4670,Categoria,Universidades,,2022-09-21,89304,,,,,,
es,Academia Contacto,info@academiacontacto.com,(+34) 913 64 24 54,,Academia Contacto,"<p><strong>Este centro de idiomas, situado en el castizo barrio de Chamberí, se dedica a impartir clases de español a estudiantes extranjeros desde 2001. Con una enseñanza basada en la participación y entretenimiento, los alumnos pueden elegir entre diversas modalidades de cursos así como actividades de ocio y culturales.</strong></p><p>La academia, que está acreditada por el Instituto Cervantes, también ofrece asesoramiento sobre alojamiento a los estudiantes que así lo requieran, facilitando los trámites para convivir con una familia española o en un piso compartido. Su sede en Madrid está compuesta por 8 confortables y modernas clases, una biblioteca y un área multimedia, así como acceso WIFI gratuito.</p><p>Todos los profesores son nativos con formación universitaria, y están especializados en la enseñanza del español como lengua extranjera.&nbsp;</p><p>Los cursos que se imparten van desde el standard de 5 lecciones a la semana al intensivo de tres semanas para la preparación del DELE (Diploma Español como Lengua Extranjera).</p>",https://www.esmadrid.com/escuelas-de-español/academia-contacto,"de Raimundo Lulio, 7",28010,Madrid,Spain,40.432731600000,-3.699238500000,Madrid,,https://estaticos.esmadrid.com/cdn/farfuture/OCKzMsYU3caEyHE_6ly0j_LRzKmZPGUZDKeaexSMNlU/mtime:1618926881/sites/default/files/recursosturisticos/cursos/academia_contacto.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/G_-rNh6xMRF7llukxUWDOCzF9M3fd36p-WeWzYpIeHQ/mtime:1618926786/sites/default/files/recursosturisticos/cursos/academia_contacto_2.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/6VZIv-NqH2VAe8XZCxjOCXK6aoKH4ZiJ8iA-c5jPkm0/mtime:1618926840/sites/default/files/recursosturisticos/cursos/academia_contacto_3.jpg,image,idTipo,8,Tipo,Courses,Servicios de pago,,Horario,<p>Lun - vier: 9:00 - 18:00 h (horario de oficina)</p>,idCategoria,4669,Categoria,Academia,,2022-09-20,83526,,,,,,
es,La aventura Espa&ntilde;ola - LAE,info@laemadrid.com,(+34) 91 219 69 91,,La aventura Espa&ntilde;ola - LAE,"<p><strong>Moderna escuela de español para extranjeros, acreditada por el Instituto Cervantes, donde se imparten cursos de todos los niveles y necesidades a través de clases divertidas e interactivas que hacen mucho más fácil el aprendizaje de este idioma. Cuentan también con cursos online.</strong></p><p>El contenido de sus cursos es muy variado y abarca diferentes destrezas como competencia gramatical, expresión oral, vocabulario útil y comprensión lectora y auditiva.</p>",https://www.esmadrid.com/escuelas-de-español/la-aventura-espanola-lae,"de Montesa, 35, 2º d",28006,,Spain,40.430035798985,-3.672325015068,Madrid,,https://estaticos.esmadrid.com/cdn/farfuture/bROzeajImB8JHwSTYh11VHd_Cr6HGONqmplmTFUKQBo/mtime:1524832485/sites/default/files/recursosturisticos/cursos/lae_1425912771.628.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/NjBwsOIzrVvq0Xpvy-y1Z6hcPOektnHdGrzSVqZQegM/mtime:1590488739/sites/default/files/recursosturisticos/cursos/lae_2_0.jpg,image,,https://estaticos.esmadrid.com/cdn/farfuture/P1XaMRhSJzAOEbKcXff3h25aNCtCWusviMgIEuA3T-E/mtime:1590489030/sites/default/files/recursosturisticos/cursos/lae.jpg,image,idTipo,8,Tipo,Courses,Servicios de pago,<p>Consultar web</p>,Horario,<p>Lun - Jue: 9:00 - 21:30 h.</p><p>Viernes: 9:00 - 18:30 h</p><p>Sábado: 10:00 - 15:30 h</p><p>&nbsp;</p>,idCategoria,4669,Categoria,Academia,,2022-09-22,67986,,,,,,
